TYPE,NAME,ADDRESS,COMM_CODE
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI
Public School,Fairview Jr High,7840 Fairmount DR SE,FAI
Public School,Falconridge Elementary,1331 Falconridge DR NE,FAL
Community Centre,Falconridge/Castleridge Community Centre,95 Falshire DR NE,FAL
Separate School,Father Doucet Elementary,65 Shannon DR SW,SHN
Separate School,Father James Whelihan Elementary & Jr High,70 Sunmills DR SE,SDC
Separate School,Father Lacombe Sr High,3615 Radcliffe DR SE,ALB
Separate School,Father Scollen Elementary & Jr High,6839 Temple DR NE,TEM
Court,Federal Court of Appeal,635 8 AV SW,DNC
Public School,Filipino Language and Cultural School,"Bay 206, 4656 Westwind DR NE",WES
Public School,Fish Creek Elementary,1039 Suncastle DR SE,SDC
Library,Fish Creek Library,11161 BONAVETURE DR SE,WIL
Attraction,Fish Creek Provincial Park (Learning Centre),13518 Woodpath RD SW,FPK
Attraction,Fish Creek Provincial Park (Visitor Centre),15979 Bow Bottom TR SE,FPK
Private School,Foothills Academy,745 37 ST NW,PKD
Hospital,Foothills Hospital,1403 - 29 ST NW,STA
Community Centre,Forest Heights/ Fonda Community Centre,4909 Forego AV SE,FHT
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN
Library,Forest Lawn Branch,4807 8 AV SE,FLN
Community Centre,Forest Lawn Community Centre,4020 26 AV SE,FLN
PHS Clinic,Forest Lawn Community Health Centre,2nd Floor 3810 17 AV SE,FLN
Public School,Forest Lawn Sr High,1304 44 ST SE,FLN
Attraction,Fort Calgary Historic Park,750 9 AV SE,DNE
Public School,G. W. Skene Community School,6226 Penbrooke DR SE,PEN
Public School,Georges P. Vanier Jr High,509 32 AV NE,WIN
Private School,German Canadian Club - Language School,2626 23 St NE,SAW
Community Centre,Glamorgan Community Centre,4207 41 AV SW,GLA
Public School,Glamorgan Elementary,50 Grafton DR SW,GLA
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC
Community Centre,Glenbrook Community Centre,3524 45 ST SW,GBK
Public School,Glenbrook Elementary,4725 33 AV SW,GBK
Public School,Glendale Elementary,2415 Kelwood DR SW,GDL
Community Centre,Glendale/Glendale Meadows Community Centre,2405 Glenmount DR SW,GDL
Private School,Glenmore Christian Academy,16520 24 ST SW,BRI
Library,Glenmore Square Library,7740 18 ST SE,OGD
Public School,Grant MacEwan Elementary,180 Falshire DR NE,FAL
Private School,Greek Community School,1 Tamarac CR SW,SPR
Private School,Green Learning Academy,"#150, 7260 - 12 ST SE",EFV
Attraction,Greyhound Bus Terminal,850 16 ST SW,SNA
Public School,Guy Weadick Elementary,5612 Templehill RD NE,TEM
Public School,H. D. Cartwright Jr High,5500 Dalhart RD NW,DAL
Public School,Harold Panabaker Jr High,23 Sackville DR SW,SOW
Public School,Harold W. Riley Elementary,3743 Dover Ridge DR SE,DOV
Public School,Haultain Memorial Elementary,605 Queensland DR SE,QLD
Public School,Hawkwood Elementary,650 Hawkwood BV NW,HAW
Community Centre,Haysboro Community Centre,1204 89 AV SW,HAY
Public School,Haysboro Elementary,1123 87 AV SW,HAY
Public School,Henry Wise Wood Sr High,910 75 AV SW,KEL
Private School,Heritage Christian Academy,2003 McKnight BV NE,NAW
Attraction,Heritage Park Historical Village,8003 14 ST SW,GPK
Public School,Hidden Valley School,10959 Hidden Valley DR NW,HID
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK
