BOARD,SUBCATEGOR,TYPE,NAME,ADDRESS,CITY,PROVINCE,POSTAL_COD,GRADES,ECS
Public School,,Elementary,Douglas Harkness Elementary,6203 24 AV NE,Calgary,AB,T1Y2C5,Grades 1-6,Y
Public School,,Elementary,Douglasdale,400 Douglas Park BV SE,Calgary,AB,T2Z4A3,Grades 1-4,Y
Public School,Bilingual,Senior High,Dr. E. P. Scarlett Sr High,220 Canterbury DR SW,Calgary,AB,T2W1H4,Grades 10-12,N
Public School,,Elementary,Dr. E. W. Coffin Elementary,5615 Barrett DR NW,Calgary,AB,T2L1W4,Grades 1-6,Y
Public School,,Junior High,Dr. G. M. Egbert Community,6033 Madigan DR NE,Calgary,AB,T2A5G9,Grades 7-9,N
Public School,,Junior High,Dr. Gordon Higgins Jr High,155 Rundlehill DR NE,Calgary,AB,T1Y2W9,Grades 7-9,N
Public School,Miscellaneous,"Elementary, Junior High, Senior High",Dr. Gordon Townsend,2888 Shaganappi TR NW,Calgary,AB,T3B6A8,Modified Calendar,N
Public School,,Elementary,Dr. J. K. Mulloy Elementary,7440 10 ST NW,Calgary,AB,T2K1H6,Grades 1-6,Y
Public School,Miscellaneous,"Elementary, Junior High",Dr. Oakley,3904 20 ST SW,Calgary,AB,T2T4Z9,Modified Calendar,N
Public School,,Elementary,Earl Grey Elementary,845 Hillcrest AV SW,Calgary,AB,T2T0Z1,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Eastside Christian Academy,1320 Abbeydale DR SE,Calgary,AB,T2A7L8,Grades 1-12,Y
Public School,French Immersion,Elementary,Ecole La Mosaique,199 Martindale BV NE,Calgary,AB,T3J3G4,Grades 1-6,
Public School,French Immersion,"Elementary, Junior High",Ecole La Rose Sauvage,2512 4 ST NW,Calgary,AB,T2M2Z9,Grades 1-9,Y
Public School,French Immersion,Elementary,Ecole Terre des Jeunes,3720 42 ST NW,Calgary,AB,T3A0C6,Grades 1-6,
Public School,French Immersion,Elementary,Ecole de La Source,360 94 AV SE,Calgary,AB,T2G0E8,Grades 1-6,Y
Private School,,Elementary,Edelweiss Preparatory School,600 Northmount DR NW,Calgary,AB,T2K3J6,Grades 1-6,Y
Public School,,Elementary,Edgemont Elementary,55 Edgevalley CI NW,Calgary,AB,T3A4X1,Grades 1-6,Y
Private School,,College,Educere Learning Centre,(1500 910 7 AVE SW) - formerly Sy,Calgary,AB,T2P3N8,Post Secondary,
Public School,,Elementary,Elbow Park Elementary,721 38 AV SW,Calgary,AB,T2T2H8,Grades 1-6,Y
Public School,,"Elementary, Junior High",Elboya Elementary & Jr High,4804 6 ST SW,Calgary,AB,T2S2N3,Grades 1-9,Y
Public School,Miscellaneous,"Elementary, Junior High, Senior High",Emily Follensbee School,5139 14 ST SW,Calgary,AB,T2T3W5,Special Needs,Y
Private School,,Senior High,Equilibrium International Education Institute,707 14 ST NW,Calgary,AB,T2N2A4,Grades 10-12,N
Public School,,Elementary,Erin Woods Elementary,25 Erin Park DR SE,Calgary,AB,T2B2Z9,Grades 1-6,Y
Public School,,Senior High,Ernest Manning Sr High,3600 16 AV SW,Calgary,AB,T3C1A5,Grades 10-12,N
Public School,,Junior High,Ernest Morrow Jr High,1212 47 ST SE,Calgary,AB,T2A1R3,Grades 7-9,N
Public School,,Elementary,Ethel M. Johnson Elementary,255 Sackville DR SW,Calgary,AB,T2W0W7,Grades 1-6,Y
Public School,,Elementary,Eugene Coste Elementary,10 Hillgrove CR SW,Calgary,AB,T2V3K7,Grades 1-6,Y
Public School,,Junior High,F. E. Osborne Jr High,5315 Varsity DR NW,Calgary,AB,T3A1A7,Grades 7-9,N
Public School,,Senior High,FFCA - High School Campus,1919 76 AV SE,Calgary,AB,T2H1V2 ,Grades 9-12,Y
Public School,,"Elementary, Junior High",FFCA - North Middle School Campus,211 McKnight Bv NE,Calgary,AB,T2E5L5,Grades 5-8,Y
Public School,,Middle School,FFCA - Northeast Elementary Campus,1140 Mayland DR NE,Calgary,AB,T2E6C8,Grades ECS-4,
Public School,,"Elementary, Junior High",FFCA - Nortwest Elementary Campus,719 44 AV NW,Calgary,AB,T2K0J5,Grades ECS-4,
Public School,,Junior High,FFCA - South Middle School Campus,8710 Ancourt RD SE ,Calgary,AB,T2H1V2 ,Grades 6-8,
Public School,,"Elementary, Junior High",FFCA - Southeast Elementary Campus,9711 Academy DR SE,Calgary,AB,T2J1A9,Grades 1-5,Y
Public School,,"Elementary, Junior High",FFCA - Southwest Elementary Campus,898 Sylvester Crescent SW,Calgary,AB,T2W0R7 ,Grades ECS-5,
Public School,Bilingual,Junior High,Fairview Jr High,7840 Fairmount DR SE,Calgary,AB,T2H0Y1,Grades 7-9,N
Public School,,Elementary,Falconridge Elementary,1331 Falconridge DR NE,Calgary,AB,T3J1T4,Grades 1-6,Y
Separate School,,Elementary,Father Doucet Elementary,65 Shannon DR SW,Calgary,AB,T2Y2T5,Grades 1-6,Y
Separate School,,"Elementary, Junior High",Father James Whelihan Elementary & Jr High,70 Sunmills DR SE,Calgary,AB,T2X2R5,Grades 1-9,Y
Separate School,,Senior High,Father Lacombe Sr High,3615 Radcliffe DR SE,Calgary,AB,T2A6B4,Grades 10-12,N
Separate School,,"Elementary, Junior High",Father Scollen Elementary & Jr High,6839 Temple DR NE,Calgary,AB,T1Y5N4,Grades 1-9,Y
Public School,,Senior High,Filipino Language and Cultural School,"Bay 206, 4656 Westwind DR NE",Calgary,AB,T3J3Z5,Grades 10-12,
Public School,,Elementary,Fish Creek Elementary,1039 Suncastle DR SE,Calgary,AB,T2X2Z1,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Foothills Academy,745 37 ST NW,Calgary,AB,T2N4T1,Grades 1-12,N
Public School,,Senior High,Forest Lawn Sr High,1304 44 ST SE,Calgary,AB,T2A1M8,Grades 10-12,N
Public School,,Elementary,G. W. Skene Community School,6226 Penbrooke DR SE,Calgary,AB,T2A6M7,Grades 1-6,N
Public School,Bilingual,Junior High,Georges P. Vanier Jr High,509 32 AV NE,Calgary,AB,T2E2H3,Grades 7-9,N
Private School,,"Elementary, Junior High",German Canadian Club - Language School,2626 23 St NE,Calgary,AB,,Grades K-8,
Public School,,Elementary,Glamorgan Elementary,50 Grafton DR SW,Calgary,AB,T3E4W3,Grades 1-6,Y
Public School,,Elementary,Glenbrook Elementary,4725 33 AV SW,Calgary,AB,T3E3V1,Grades 1-6,Y
Public School,,Elementary,Glendale Elementary,2415 Kelwood DR SW,Calgary,AB,T3E3Z8,Grades 1-6,Y
Private School,,"Elementary, Junior High",Webber Academy,1515 93 ST SW,Calgary,AB,T3H4A8,Grades 1-12,Y
Public School,,Elementary,West Dalhousie Elementary,6502 58 ST NW,Calgary,AB,T3A2C8,Grades 1-6,Y
Public School,,Elementary,West Dover Elementary,3113 30 AV SE,Calgary,AB,T2B0G9,Grades 1-6,Y
Private School,,"Junior High, Senior High",West Island College,7410 Blackfoot TR SE,Calgary,AB,T2H1M5,Grades 7-12,N
Public School,Miscellaneous,"Junior High, Senior High",West View School,12626 85 ST NW,Calgary,AB,T2M4S9,Grades 7-12,N
Public School,Bilingual,Senior High,Western Canada Sr High,641 17 AV SW,Calgary,AB,T2S0B5,Grades 10-12,N
Public School,Bilingual,Elementary,Westgate Elementary,150 Westminster DR SW,Calgary,AB,T3C2T3,Grades 1-6,Y
Public School,,"Elementary, Junior High, Senior High",Westmount Charter School,2519 Richmond RD SW,Calgary,AB,T3E4M2,Grades 1-12,Y
Public School,,Elementary,Wildwood Elementary,120 45 ST SW,Calgary,AB,T3C2B3,Grades 1-6,Y
Public School,Bilingual,Senior High,William Aberhart Sr High,3009 Morley TR NW,Calgary,AB,T2M4G9,Grades 10-12,N
Public School,French Immersion,Elementary,William Reid Elementary,1216 36 AV SW,Calgary,AB,T2T2E9,Grades 1-6,Y
Public School,Miscellaneous,"Elementary, Junior High, Senior High",William Roper Hull Home,2266 Woodpark AV SW,Calgary,AB,T2W2Z8,Modified Calendar,N
Public School,,"Elementary, Junior High",Willow Park Elementary,343 Willow Park DR SE,Calgary,AB,T2J0K7,Grades 1-6,Y
Public School,,Junior High,Wilma Hansen Jr High,963 Queensland DR SE,Calgary,AB,T2J5E5,Grades 7-9,N
Public School,Miscellaneous,"Junior High, Senior High",Wood's Home - George Woods Learning Centre,9400 48 AV NW,Calgary,AB,T3B2B2,Grades 7-12,N
Public School,,"Junior High, Senior High",Wood's Homes - William Taylor Learning Centre,805 37 ST NW,Calgary,AB,T2N4N8,Grades 7-12,
Public School,,Elementary,Woodbine Elementary,27 Woodfield WY SW,Calgary,AB,T2W5E1,Grades 1-6,Y
Public School,,Elementary,Woodlands Elementary,88 Woodgreen DR SW,Calgary,AB,T2W4W9,Grades 1-6,Y
Public School,,Junior High,Woodman Jr High,8706 Elbow DR SW,Calgary,AB,T2V1L2,Grades 7-9,N
Public School,Miscellaneous,"Junior High, Senior High",Young Adult Program,1403 29ST NW (Foothills Hospital),Calgary,AB,T2N2T9,Grades 7-12,N
Private School,,"Elementary, Junior High, Senior High",Yufeng Chinese School,27 Citadel Ridge CL NW (School lo,Calgary,AB,T3G4V4,Grades 1-12,N
Separate School,,Junior High,Madeleine D' Houet Jr High,108 22 ST NW,Calgary,AB,T2N2M8,Grades 7-9,N
Public School,,Elementary,Maple Ridge Elementary,10203 Maplemont RD SE,Calgary,AB,T2J1W3,Grades 1-4,Y
Private School,,Elementary,Maria Montessori School,510 77 AV SE,Calgary,AB,T2H1C3,Grades 1-6,
Public School,,Elementary,Marion Carson Elementary,5225 Varsity DR NW,Calgary,AB,T3A1A7,Grades 1-6,Y
Public School,,Elementary,Marlborough Elementary,4711 Maryvale DR NE,Calgary,AB,T2A3A1,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Masters Academy,4414 Crowchild TR SW,Calgary,AB,T2T5J4,Grades 1-12,Y
Public School,Bilingual,Elementary,Mayland Heights Elementary,2324 Maunsell DR NE,Calgary,AB,T2E6A2,Grades 1-6,Y
Public School,,Elementary,McKenzie Lake Elementary,16210 McKenzie Lake WY SE,Calgary,AB,T2Z1L7,Grades 1-6,Y
Public School,,Elementary,McKenzie Towne Elementary,679 Prestwick Ci SE,Calgary,AB,T2Z0V3,Grades K-4,
Private School,,"Elementary, Junior High",Menno Simons Christian School,7000 Elkton DR SW,Calgary,AB,T3H4Y7,Grades 1-9,Y
Public School,,Junior High,MidSun Jr High,660 Sunmills DR SE,Calgary,AB,T2X3R5,Grades 7-9,N
Public School,,Elementary,Midnapore Elementary,55 Midpark Rise SE,Calgary,AB,T2X1L7,Grades 1-6,Y
Separate School,,Elementary,Monsignor A. J. Hetherington Elementary,4 Coral Springs BV N.E,Calgary,AB,T3J3J3,Grades 1-6,Y
Separate School,,Elementary,Monsignor E. L. Doyle Elementary,8887 Scurfield DR NW,Calgary,AB,T3L1H6,Grades 1-6,Y
Separate School,,"Elementary, Junior High",Monsignor J. J. O'Brien Elementary & Jr High,99 Bridlewood RD SW,Calgary,AB,T2P4T9,Grades 1-9,Y
Separate School,,"Elementary, Junior High",Monsignor J.S. Smith Elementary & Jr High,2919 Douglasdale BV SE,Calgary,AB,T2Z2H9,Grades 1-9,Y
Separate School,,Elementary,Monsignor N. Anderson Elementary,327 Sandarac DR NW,Calgary,AB,T3K4B2,Grades 1-6,Y
Public School,,Elementary,Monterey Park Elementary,7600 California BV NE,Calgary,AB,T1Y6R2,Grades 1-6,Y
Private School,,Elementary,Montessori School of Calgary,2201 Cliff ST SW,Calgary,AB,T2S2G4,Grades 1-6,Y
Public School,,Junior High,Montgomery Jr High,2116 McKay RD NW,Calgary,AB,T3B1C7,Grades 7-9,N
Separate School,,Elementary,Mother Mary Greene Elementary,115 Edenwold DR NW,Calgary,AB,T3A3S8,Grades 1-6,Y
Separate School,,Elementary,Mother Teresa Elementary,121 Midlake BV SE,Calgary,AB,T2X1T7,Grades 1-6,Y
Public School,,Junior High,Mount Royal Jr High,2234 14 ST SW,Calgary,AB,T2T3T3,Grades 7-9,N
Post Secondary,,University,Mount Royal University - City Centre Campus,833 4 AV SW,Calgary,AB,T2P3T5,Post Secondary,
Post Secondary,,University,Mount Royal University - Holy Cross Campus,2204 2ST SW,Calgary,AB,T2P1S5,Post Secondary,
Post Secondary,,University,Mount Royal University - Lincoln Park Campus,4825 Richard RD SW,Calgary,AB,T3E6K6,Post Secondary,
Public School,,Elementary,Mount View Elementary,2004 4 ST NE,Calgary,AB,T2E3T8,Grades 1-6,Y
Public School,,Middle School,Mountain Park School,312 Mt. Douglas Cl SE,Calgary,AB,T2Z4Y1,Grades 5-8,
Private School,,"Elementary, Junior High, Senior High",Mountain View Academy,"B4, 2452 Battleford AV SW",Calgary,AB,T3E7K9,Grades 1-12,Y
Public School,Miscellaneous,Senior High,National Sport Sr High,3600 16 AV SW,Calgary,AB,T2M4G9,Grades 9-12,N
Public School,,Elementary,Nellie McClung Elementary,2315 Palliser DR SW,Calgary,AB,T2V3S4,Grades 1-6,Y
Private School,,"Elementary, Junior High",New Heights Early Lerning Services,1323 McKnight BV NE,Calgary,AB,T2E5T4,Grades 1-9,
Public School,,Junior High,Nickle Jr High,2500 Lake Bonavista DR SE,Calgary,AB,T2J2Y6,Grades 7-9,N
Public School,,Elementary,North Haven Elementary,4922 North Haven DR NW,Calgary,AB,T2K2K2,Grades 1-6,Y
Separate School,,Senior High,Notre Dame,11900 Country Village LI NE,Calgary,AB,T3K 6E4,Grades 10-11,
Separate School,French Immersion,Elementary,Notre-Dame-de-la-Paix,809 Willingdon BV SE,Calgary,AB,T2J2B7,Grades 1-6,
Public School,,Elementary,O. S. Geiger Elementary,100 Castlebrook DR NE,Calgary,AB,T3J2J4,Grades 1-6,Y
Public School,,Elementary,Olympic Heights Elementary,875 Strathcona DR SW,Calgary,AB,T3H2Z7,Grades 1-6,Y
Separate School,,Elementary,Our Lady of Fatima Elementary,6320 Taralea PA NE,Calgary,AB,T3J5C4,Grades 1-6,
Separate School,,"Elementary, Junior High, Senior High",Our Lady of Lourdes Elementary & Jr. High,1916 2 ST SW,Calgary,AB,T2S1S3,Grades 4-12,
Separate School,,"Elementary, Junior High",Our Lady of Peace Elementary & Jr High,14826 Millrise Hill SW,Calgary,AB,T2Y2B4,Grades 1-9,Y
Separate School,,"Elementary, Junior High",Our Lady of the Assumption Elementary & Jr High,7311 34 AV NW,Calgary,AB,T3B1N5,Grades 1-9,Y
Public School,,Elementary,Panorama Hills School,1057 Panorama Hills DR NW,Calgary,AB,T3K0S4,Grades K-3,
Public School,,Elementary,Patrick Airlie Elementary,1520 39 ST SE,Calgary,AB,T2A1H9,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Phoenix Foundation,"Bay 1, 2821 3 AV NE",Calgary,AB,T2A7P3,Grades 1-12,
Public School,,Elementary,Piitoayis Family School,1921 9AV SE,Calgary,AB,T2G0B3,Grades K-6,
Public School,,Elementary,Pineridge Community,1927 61 ST NE,Calgary,AB,T1Y4W6,Grades 1-6,Y
Public School,,Elementary,Prince of Wales School,253 Parkand WY SE,Calgary,AB,T2J3Y9,Grades 1-6,Y
Public School,,Elementary,Queen Elizabeth Elementary,402 18 ST NW,Calgary,AB,T2N2G5,Grades 1-6,Y
Public School,,"Junior High, Senior High",Queen Elizabeth Jr & Sr High,512 18 ST NW,Calgary,AB,T2N2G5,Grades 7-12,N
